main plan id;year;month;date;premiums;payment mode
5abc923e737061239fe3cbc9;2062;3;2062-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2063;3;2063-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2064;3;2064-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2065;3;2065-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2066;3;2066-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2067;3;2067-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2068;3;2068-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2069;3;2069-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2070;3;2070-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2071;3;2071-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2072;3;2072-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2073;3;2073-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2074;3;2074-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2075;3;2075-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2076;3;2076-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2077;3;2077-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2078;3;2078-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2079;3;2079-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2080;3;2080-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2081;3;2081-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2082;3;2082-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2083;3;2083-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2084;3;2084-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2085;3;2085-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2086;3;2086-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2087;3;2087-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2088;3;2088-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2089;3;2089-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2090;3;2090-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2091;3;2091-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2092;3;2092-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2093;3;2093-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2094;3;2094-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2095;3;2095-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2096;3;2096-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2097;3;2097-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2098;3;2098-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2099;3;2099-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2100;3;2100-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2101;3;2101-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2102;3;2102-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2103;3;2103-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2104;3;2104-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2105;3;2105-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2106;3;2106-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2107;3;2107-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2108;3;2108-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2109;3;2109-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2110;3;2110-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2111;3;2111-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2112;3;2112-03-29;456.0;Cash ( GIRO )
5abc923e737061239fe3cbc9;2113;3;2113-03-29;456.0;Cash ( GIRO )
5ae2d4777370610cc61a93ee;2018;4;2018-04-27;128.0;CPF Medisave Account
5ae2d4777370610cc61a93ee;2019;4;2019-04-27;128.0;CPF Medisave Account
5ae2d4777370610cc61a93ee;2020;4;2020-04-27;128.0;CPF Medisave Account
5ae2d4777370610cc61a93ee;2021;4;2021-04-27;128.0;CPF Medisave Account
5ae2d4777370610cc61a93ee;2022;4;2022-04-27;128.0;CPF Medisave Account
5ef1871843d8da6ca1b2821a;2020;6;2020-06-23;1500.0;Cash ( GIRO )
5ef1871843d8da6ca1b2821a;2021;6;2021-06-23;1500.0;Cash ( GIRO )
